CMDLINE /Users/inki/anaconda/bin/python julia1_memoryprofiler1.py
MEM 53.464844 1510660640.2889
MEM 53.574219 1510660640.3940
MEM 53.683594 1510660640.4991
MEM 53.785156 1510660640.5997
MEM 53.890625 1510660640.7005
MEM 54.003906 1510660640.8056
MEM 54.105469 1510660640.9107
MEM 54.214844 1510660641.0131
MEM 54.324219 1510660641.1182
MEM 53.511719 1510660641.2220
MEM 53.613281 1510660641.3272
MEM 53.726562 1510660641.4323
MEM 53.835938 1510660641.5374
MEM 53.945312 1510660641.6421
MEM 54.046875 1510660641.7435
MEM 54.156250 1510660641.8485
MEM 54.261719 1510660641.9497
MEM 54.359375 1510660642.0498
MEM 54.468750 1510660642.1501
MEM 54.593750 1510660642.2553
MEM 54.695312 1510660642.3604
MEM 54.804688 1510660642.4647
MEM 54.914062 1510660642.5698
MEM 55.027344 1510660642.6746
MEM 55.128906 1510660642.7798
MEM 55.234375 1510660642.8811
MEM 55.343750 1510660642.9862
MEM 55.449219 1510660643.0913
MEM 55.558594 1510660643.1964
MEM 55.667969 1510660643.2996
MEM 55.777344 1510660643.4047
MEM 55.878906 1510660643.5062
MEM 55.988281 1510660643.6113
MEM 56.093750 1510660643.7153
MEM 56.195312 1510660643.8181
MEM 56.304688 1510660643.9232
MEM 56.414062 1510660644.0255
MEM 56.515625 1510660644.1283
MEM 56.625000 1510660644.2322
MEM 56.738281 1510660644.3373
MEM 56.847656 1510660644.4410
MEM 56.945312 1510660644.5420
MEM 57.054688 1510660644.6471
MEM 56.808594 1510660644.7496
MEM 56.910156 1510660644.8547
MEM 57.019531 1510660644.9563
MEM 57.128906 1510660645.0614
MEM 57.230469 1510660645.1663
MEM 57.339844 1510660645.2697
MEM 57.449219 1510660645.3740
MEM 57.558594 1510660645.4764
MEM 57.660156 1510660645.5815
MEM 57.765625 1510660645.6819
MEM 57.875000 1510660645.7867
MEM 57.976562 1510660645.8918
MEM 58.085938 1510660645.9967
MEM 58.195312 1510660646.0995
MEM 58.296875 1510660646.2026
MEM 58.410156 1510660646.3077
MEM 58.515625 1510660646.4098
MEM 58.613281 1510660646.5102
MEM 58.722656 1510660646.6109
MEM 58.832031 1510660646.7160
MEM 58.933594 1510660646.8172
MEM 59.039062 1510660646.9196
MEM 59.152344 1510660647.0247
MEM 59.261719 1510660647.1298
MEM 59.363281 1510660647.2349
MEM 59.476562 1510660647.3400
MEM 59.585938 1510660647.4445
MEM 59.695312 1510660647.5472
MEM 59.796875 1510660647.6495
MEM 59.906250 1510660647.7546
MEM 60.011719 1510660647.8565
MEM 60.113281 1510660647.9616
MEM 60.218750 1510660648.0631
MEM 60.328125 1510660648.1680
MEM 60.433594 1510660648.2729
MEM 60.542969 1510660648.3780
MEM 60.656250 1510660648.4831
MEM 60.761719 1510660648.5865
MEM 59.695312 1510660648.6916
MEM 59.804688 1510660648.7932
MEM 59.902344 1510660648.8983
MEM 60.007812 1510660648.9994
MEM 60.121094 1510660649.1047
MEM 60.214844 1510660649.2055
MEM 60.320312 1510660649.3080
MEM 60.429688 1510660649.4131
MEM 60.531250 1510660649.5182
MEM 60.644531 1510660649.6229
MEM 60.753906 1510660649.7280
MEM 60.863281 1510660649.8331
MEM 60.964844 1510660649.9338
MEM 61.074219 1510660650.0371
MEM 61.179688 1510660650.1372
MEM 61.285156 1510660650.2423
MEM 61.390625 1510660650.3429
MEM 61.500000 1510660650.4480
MEM 61.601562 1510660650.5494
MEM 61.707031 1510660650.6496
MEM 61.816406 1510660650.7547
MEM 61.929688 1510660650.8598
MEM 62.027344 1510660650.9604
MEM 62.136719 1510660651.0631
MEM 62.234375 1510660651.1646
MEM 62.343750 1510660651.2697
MEM 62.453125 1510660651.3711
MEM 62.562500 1510660651.4752
MEM 62.664062 1510660651.5765
MEM 62.773438 1510660651.6769
MEM 62.882812 1510660651.7820
MEM 62.984375 1510660651.8869
MEM 63.093750 1510660651.9921
MEM 63.203125 1510660652.0967
MEM 63.312500 1510660652.1993
MEM 63.410156 1510660652.3015
